2017-08-21 15:04:34 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-08-21 15:06:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [116922], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [478]
2017-08-21 15:07:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127229], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [8]
2017-08-21 15:10:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127720], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [297]
2017-08-21 15:11:56 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [128484], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [173]
2017-08-21 15:16:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [128485], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [173]
2017-08-21 15:17:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [128602], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [431]
2017-08-21 15:18:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127724], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [315]
2017-08-21 15:19:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [128257], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [265]
2017-08-21 15:23:08 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127154], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [268]
2017-08-21 15:23:47 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [127281], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [203]
2017-08-21 15:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [128654], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [52]
2017-08-21 15:32:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [112672], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [448]
2017-08-21 15:34:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [128491], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [309]
