2017-06-29 12:40:58 - [INFO] --> Logowanie użytkownika: [smiernik]
2017-06-29 12:41:18 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Szymon Miernik], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [531]
2017-06-29 12:41:18 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [99416], ID urządzenia: [130], Serwisant: [smiernik]
2017-06-29 12:41:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [akceptor ( wlot )], Id urządzenia: [1], Ilość: [-1]
2017-06-29 12:41:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [CR (manualny)], Id urządzenia: [14], Ilość: [-2]
2017-06-29 12:41:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [mifare], Id urządzenia: [26], Ilość: [-1]
2017-06-29 12:41:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [modem], Id urządzenia: [27], Ilość: [-2]
2017-06-29 12:41:29 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [pinpad SB], Id urządzenia: [31], Ilość: [-1]
2017-06-29 12:41:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [płytka do powerbox], Id urządzenia: [35], Ilość: [-1]
2017-06-29 12:41:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [przejściówka do modemu], Id urządzenia: [36], Ilość: [-2]
2017-06-29 12:41:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [sortownik], Id urządzenia: [39], Ilość: [-1]
2017-06-29 12:41:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [walidator (NRI)], Id urządzenia: [42], Ilość: [-1]
2017-06-29 12:41:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [ZCGVA], Id urządzenia: [44], Ilość: [-1]
2017-06-29 12:41:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1]
2017-06-29 12:41:30 - [INFO] --> Podjęte działanie serwisowe: [Zwrot do magazynu], Serwisant: [Szymon Miernik], Urządzenie: [Papier stacjonarny], Id urządzenia: [130], Ilość: [-2]
